127.0.0.1 - - [24/Dec/2023:00:08:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:31 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:31 +0530] "GET /NoteTakerToDoList/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:32 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:44 +0530] "POST /NoteTakerToDoList/SaveNoteServlet HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:47 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 6738
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:47 +0530] "GET /NoteTakerToDoList/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:58 +0530] "GET /NoteTakerToDoList/DeleteServlet?note_id=56519 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:08:58 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 6101
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:09:00 +0530] "GET /NoteTakerToDoList/DeleteServlet?note_id=25654 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:09:00 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:12:47 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:13:29 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2536
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:13:46 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:14:21 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:15:27 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:15:41 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2644
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:17:09 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:18:11 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:18:12 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:18:12 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:18:13 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:18:13 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:18:19 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:19:32 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:19:35 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:19:39 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:19:52 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:19:57 +0530] "GET /NoteTakerToDoList/index.jsp? HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:20:01 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:20:03 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:20:08 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:20:13 +0530] "GET /NoteTakerToDoList/all_notes.jsp? HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:21:11 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:21:15 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:21:20 +0530] "GET /NoteTakerToDoList/edit.jsp?note_id=37152 HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:21:24 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:21:27 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:06 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:08 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:20 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:20 +0530] "GET /NoteTakerToDoList/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:27 +0530] "GET /NoteTakerToDoList/all_notes.jsp HTTP/1.1" 200 5478
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:28 +0530] "GET /NoteTakerToDoList/edit.jsp?note_id=37152 HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:22:32 +0530] "GET /NoteTakerToDoList/add_notes.jsp HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:23:26 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:23:35 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:24:29 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:24:31 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:27:54 +0530] "GET /NoteTakerToDoList/about_us.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [24/Dec/2023:00:30:28 +0530] "GET /NoteTakerToDoList/index.jsp HTTP/1.1" 200 2896
